state,district,market,commodity,variety,group,arrivals_tonnes,min_price_rs_quintal,max_price_rs_quintal,modal_price_rs_quintal,reported_date,commodity_clean,date,modal_price_rs_kg,min_price_rs_kg,max_price_rs_kg
Maharashtra,Mumbai,APMC Vashi,Onion,Red Nasik,Vegetables,302.1,2303.3,2850.1,2540.8,2022-01-01,onion,2022-01-01,25.408,23.033,28.500999999999998
Maharashtra,Mumbai,APMC Vashi,Onion,Red Nasik,Vegetables,323.2,2463.0,2769.1,2635.8,2022-01-02,onion,2022-01-02,26.358,24.63,27.691
Maharashtra,Mumbai,APMC Vashi,Onion,Red Nasik,Vegetables,374.1,2346.6,3181.1,2746.8,2022-01-03,onion,2022-01-03,27.468000000000004,23.465999999999998,31.811
Maharashtra,Mumbai,APMC Vashi,Onion,Red Nasik,Vegetables,340.9,2267.4,2599.2,2429.5,2022-01-04,onion,2022-01-04,24.295,22.674,25.991999999999997
Maharashtra,Mumbai,APMC Vashi,Onion,Red Nasik,Vegetables,324.6,2447.4,2816.5,2651.4,2022-01-05,onion,2022-01-05,26.514,24.474,28.165
Maharashtra,Mumbai,APMC Vashi,Onion,Red Nasik,Vegetables,377.1,2609.3,3491.7,2968.0,2022-01-06,onion,2022-01-06,29.68,26.093000000000004,34.917
Maharashtra,Mumbai,APMC Vashi,Onion,Red Nasik,Vegetables,292.0,2340.0,3087.0,2645.0,2022-01-07,onion,2022-01-07,26.45,23.4,30.87
Maharashtra,Mumbai,APMC Vashi,Onion,Red Nasik,Vegetables,242.9,2422.9,3006.6,2624.2,2022-01-08,onion,2022-01-08,26.241999999999997,24.229,30.066
Maharashtra,Mumbai,APMC Vashi,Onion,Red Nasik,Vegetables,337.2,2523.5,3228.1,2900.2,2022-01-09,onion,2022-01-09,29.002,25.235,32.281
Maharashtra,Mumbai,APMC Vashi,Onion,Red Nasik,Vegetables,287.9,2289.9,3044.0,2644.2,2022-01-10,onion,2022-01-10,26.441999999999997,22.899,30.44
