product,category,price_per_kg,units_shipped,units_sold,units_on_hand,supplier_location,date,product_clean
Onion,Vegetables,34.7,45.3,34.9,13.3,Agra,2022-01-01,onion
Onion,Vegetables,39.6,36.0,28.3,13.8,Agra,2022-01-02,onion
Onion,Vegetables,34.0,34.5,28.5,11.1,Agra,2022-01-03,onion
Onion,Vegetables,36.9,39.3,30.3,11.6,Agra,2022-01-04,onion
Onion,Vegetables,36.6,30.4,24.8,10.7,Agra,2022-01-05,onion
Onion,Vegetables,34.7,33.0,29.3,6.2,Agra,2022-01-06,onion
Onion,Vegetables,38.2,37.7,28.6,12.5,Agra,2022-01-07,onion
Onion,Vegetables,35.0,34.2,31.5,7.9,Agra,2022-01-08,onion
Onion,Vegetables,40.1,36.0,29.2,13.9,Agra,2022-01-09,onion
Onion,Vegetables,39.4,29.3,25.4,10.6,Agra,2022-01-10,onion
Onion,Vegetables,37.4,33.2,30.5,6.8,Agra,2022-01-11,onion
Onion,Vegetables,38.6,39.6,31.0,11.3,Agra,2022-01-12,onion
Onion,Vegetables,36.4,35.4,28.9,9.7,Agra,2022-01-13,onion
Onion,Vegetables,35.5,36.8,29.5,14.0,Agra,2022-01-14,onion
Onion,Vegetables,37.5,39.8,37.9,8.3,Agra,2022-01-15,onion
Onion,Vegetables,39.2,26.4,24.8,6.0,Agra,2022-01-16,onion
Onion,Vegetables,39.2,27.7,25.7,8.4,Agra,2022-01-17,onion
Onion,Vegetables,38.1,43.7,35.6,10.5,Agra,2022-01-18,onion
Onion,Vegetables,37.7,36.3,27.8,12.9,Agra,2022-01-19,onion
Onion,Vegetables,35.2,38.2,32.0,11.6,Agra,2022-01-20,onion
Onion,Vegetables,38.6,40.9,30.7,15.3,Agra,2022-01-21,onion
Onion,Vegetables,38.3,39.9,33.4,13.9,Agra,2022-01-22,onion
Onion,Vegetables,33.3,36.3,34.0,8.8,Agra,2022-01-23,onion
Onion,Vegetables,35.9,41.2,34.1,13.4,Agra,2022-01-24,onion
Onion,Vegetables,34.9,32.1,25.2,14.8,Agra,2022-01-25,onion
Onion,Vegetables,35.7,29.0,23.5,9.4,Agra,2022-01-26,onion
Onion,Vegetables,39.4,34.9,29.3,9.6,Agra,2022-01-27,onion
Onion,Vegetables,39.6,31.3,27.8,6.7,Agra,2022-01-28,onion
Onion,Vegetables,39.5,34.2,27.5,14.0,Agra,2022-01-29,onion
Onion,Vegetables,33.8,40.3,35.8,10.1,Agra,2022-01-30,onion
Onion,Vegetables,33.9,35.9,29.3,8.9,Agra,2022-01-31,onion
Onion,Vegetables,36.2,34.0,30.7,10.2,Agra,2022-02-01,onion
Onion,Vegetables,35.5,42.9,33.9,15.7,Agra,2022-02-02,onion
Onion,Vegetables,34.4,27.7,24.5,5.8,Agra,2022-02-03,onion
Onion,Vegetables,39.3,28.1,24.6,5.8,Agra,2022-02-04,onion
Onion,Vegetables,39.1,34.7,30.5,8.3,Agra,2022-02-05,onion
Onion,Vegetables,39.9,36.2,29.7,14.3,Agra,2022-02-06,onion
Onion,Vegetables,39.6,30.8,25.1,12.6,Agra,2022-02-07,onion
Onion,Vegetables,36.6,25.0,21.1,10.1,Agra,2022-02-08,onion
Onion,Vegetables,39.0,27.9,22.8,12.3,Agra,2022-02-09,onion
Onion,Vegetables,37.7,37.8,29.5,10.4,Agra,2022-02-10,onion
Onion,Vegetables,39.4,39.7,30.2,16.5,Agra,2022-02-11,onion
Onion,Vegetables,38.4,31.9,30.0,5.6,Agra,2022-02-12,onion
Onion,Vegetables,36.3,39.6,35.0,11.8,Agra,2022-02-13,onion
Onion,Vegetables,40.1,28.9,26.4,9.7,Agra,2022-02-14,onion
Onion,Vegetables,39.2,35.3,32.1,5.5,Agra,2022-02-15,onion
Onion,Vegetables,39.6,41.1,31.4,13.7,Agra,2022-02-16,onion
Onion,Vegetables,36.5,28.7,23.7,7.2,Agra,2022-02-17,onion
Onion,Vegetables,39.1,32.9,26.7,11.4,Agra,2022-02-18,onion
Onion,Vegetables,35.6,38.4,35.7,7.8,Agra,2022-02-19,onion
Onion,Vegetables,34.9,43.6,35.5,13.7,Agra,2022-02-20,onion
Onion,Vegetables,39.5,37.0,33.8,10.0,Agra,2022-02-21,onion
Onion,Vegetables,40.0,32.1,24.6,14.3,Agra,2022-02-22,onion
Onion,Vegetables,39.3,34.0,28.4,12.5,Agra,2022-02-23,onion
Onion,Vegetables,34.2,44.3,33.6,17.9,Agra,2022-02-24,onion
Onion,Vegetables,38.3,37.9,34.4,10.3,Agra,2022-02-25,onion
Onion,Vegetables,37.5,52.2,38.9,16.6,Agra,2022-02-26,onion
Onion,Vegetables,39.2,33.5,30.7,4.9,Agra,2022-02-27,onion
Onion,Vegetables,39.2,36.0,28.6,12.2,Agra,2022-02-28,onion
Onion,Vegetables,36.1,35.7,30.7,9.3,Agra,2022-03-01,onion
Onion,Vegetables,39.9,31.8,25.0,12.7,Agra,2022-03-02,onion
Onion,Vegetables,39.2,32.5,30.2,8.5,Agra,2022-03-03,onion
Onion,Vegetables,34.9,41.0,31.1,15.0,Agra,2022-03-04,onion
Onion,Vegetables,36.5,37.4,28.9,10.7,Agra,2022-03-05,onion
Onion,Vegetables,38.2,31.9,28.0,8.9,Agra,2022-03-06,onion
Onion,Vegetables,39.2,37.7,32.0,10.9,Agra,2022-03-07,onion
Onion,Vegetables,34.3,35.7,27.4,11.5,Agra,2022-03-08,onion
Onion,Vegetables,39.7,31.0,26.8,11.2,Agra,2022-03-09,onion
Onion,Vegetables,35.9,31.7,28.1,7.5,Agra,2022-03-10,onion
Onion,Vegetables,35.4,27.8,24.1,8.7,Agra,2022-03-11,onion
Onion,Vegetables,34.0,47.0,36.8,13.7,Agra,2022-03-12,onion
Onion,Vegetables,35.0,33.4,28.0,13.3,Agra,2022-03-13,onion
