city,date,temperature_c,precipitation_mm,rain_indicator
Agra,2022-01-01,11.4,0.0,0
Agra,2022-01-02,12.6,0.0,0
Agra,2022-01-03,16.2,0.0,0
Agra,2022-01-04,16.2,0.0,0
Agra,2022-01-05,12.5,0.0,0
Agra,2022-01-06,10.1,0.0,0
Agra,2022-01-07,12.2,0.0,0
Agra,2022-01-08,15.4,0.0,0
Agra,2022-01-09,12.7,0.0,0
Agra,2022-01-10,14.2,0.3,0
Agra,2022-01-11,14.9,0.0,0
Agra,2022-01-12,12.9,0.0,0
Agra,2022-01-13,9.7,0.0,0
Agra,2022-01-14,8.0,0.0,0
Agra,2022-01-15,13.7,0.0,0
Agra,2022-01-16,12.6,0.0,0
Agra,2022-01-17,16.7,0.0,0
Agra,2022-01-18,13.4,0.0,0
Agra,2022-01-19,12.3,0.0,0
Agra,2022-01-20,13.2,0.0,0
Agra,2022-01-21,12.2,0.0,0
Agra,2022-01-22,11.1,0.0,0
Agra,2022-01-23,13.2,0.0,0
Agra,2022-01-24,11.7,0.0,0
Agra,2022-01-25,14.7,0.0,0
Agra,2022-01-26,16.9,0.0,0
Agra,2022-01-27,12.6,0.0,0
Agra,2022-01-28,16.1,0.0,0
Agra,2022-01-29,10.7,0.0,0
Agra,2022-01-30,15.2,0.0,0
Agra,2022-01-31,13.9,0.0,0
Agra,2022-02-01,14.5,0.0,0
Agra,2022-02-02,15.7,0.4,0
Agra,2022-02-03,14.3,0.0,0
Agra,2022-02-04,14.0,0.0,0
Agra,2022-02-05,14.7,0.0,0
Agra,2022-02-06,13.6,0.0,0
Agra,2022-02-07,15.8,0.0,0
Agra,2022-02-08,11.8,0.0,0
Agra,2022-02-09,13.5,0.0,0
Agra,2022-02-10,15.5,0.0,0
Agra,2022-02-11,17.6,0.0,0
Agra,2022-02-12,16.4,0.0,0
Agra,2022-02-13,14.8,0.0,0
Agra,2022-02-14,14.4,0.0,0
Agra,2022-02-15,14.2,0.0,0
Agra,2022-02-16,14.3,0.0,0
Agra,2022-02-17,11.8,0.0,0
Agra,2022-02-18,18.2,0.0,0
Agra,2022-02-19,15.1,0.0,0
Agra,2022-02-20,13.9,0.0,0
Agra,2022-02-21,16.2,0.0,0
Agra,2022-02-22,14.3,0.0,0
Agra,2022-02-23,17.3,0.0,0
Agra,2022-02-24,14.5,0.0,0
Agra,2022-02-25,17.3,0.0,0
Agra,2022-02-26,15.6,0.0,0
Agra,2022-02-27,16.7,0.0,0
Agra,2022-02-28,17.9,0.0,0
Agra,2022-03-01,15.6,0.0,0
Agra,2022-03-02,18.1,0.0,0
Agra,2022-03-03,13.8,0.0,0
Agra,2022-03-04,19.7,0.0,0
Agra,2022-03-05,18.9,0.0,0
Agra,2022-03-06,17.1,0.0,0
Agra,2022-03-07,19.6,0.0,0
Agra,2022-03-08,19.5,0.0,0
Agra,2022-03-09,17.8,0.0,0
Agra,2022-03-10,17.9,0.0,0
Agra,2022-03-11,16.5,0.0,0
Agra,2022-03-12,18.4,0.0,0
Agra,2022-03-13,15.9,0.0,0
Agra,2022-03-14,20.0,0.0,0
Agra,2022-03-15,20.2,0.0,0
Agra,2022-03-16,16.0,0.0,0
Agra,2022-03-17,21.7,0.0,0
Agra,2022-03-18,18.3,0.0,0
Agra,2022-03-19,24.7,0.0,0
Agra,2022-03-20,20.1,0.0,0
Agra,2022-03-21,22.4,0.0,0
Agra,2022-03-22,18.5,0.0,0
Agra,2022-03-23,19.8,0.0,0
Agra,2022-03-24,19.5,0.0,0
Agra,2022-03-25,18.1,0.0,0
Agra,2022-03-26,18.7,0.0,0
Agra,2022-03-27,20.8,0.0,0
Agra,2022-03-28,21.9,0.0,0
Agra,2022-03-29,19.7,0.0,0
Agra,2022-03-30,21.0,0.0,0
Agra,2022-03-31,20.6,0.0,0
Agra,2022-04-01,21.9,0.9,0
Agra,2022-04-02,23.4,1.2,0
Agra,2022-04-03,21.9,0.0,0
Agra,2022-04-04,19.0,0.0,0
Agra,2022-04-05,21.6,0.0,0
Agra,2022-04-06,26.6,0.0,0
Agra,2022-04-07,23.5,0.0,0
Agra,2022-04-08,21.7,1.7,0
Agra,2022-04-09,23.5,0.0,0
Agra,2022-04-10,24.2,0.0,0
Agra,2022-04-11,23.8,0.0,0
Agra,2022-04-12,25.1,0.0,0
Agra,2022-04-13,23.5,1.9,0
Agra,2022-04-14,24.9,0.0,0
Agra,2022-04-15,23.6,0.0,0
Agra,2022-04-16,24.1,2.5,0
Agra,2022-04-17,24.8,0.0,0
Agra,2022-04-18,21.3,0.0,0
Agra,2022-04-19,26.0,0.8,0
Agra,2022-04-20,26.6,0.0,0
Agra,2022-04-21,25.2,0.0,0
Agra,2022-04-22,25.9,0.0,0
Agra,2022-04-23,25.5,0.0,0
Agra,2022-04-24,27.0,0.0,0
Agra,2022-04-25,27.1,0.0,0
Agra,2022-04-26,24.6,0.0,0
Agra,2022-04-27,26.8,0.0,0
Agra,2022-04-28,28.0,0.0,0
Agra,2022-04-29,27.8,0.0,0
Agra,2022-04-30,25.8,0.0,0
Agra,2022-05-01,27.9,0.0,0
Agra,2022-05-02,26.6,0.0,0
Agra,2022-05-03,27.7,0.0,0
Agra,2022-05-04,30.4,5.1,1
Agra,2022-05-05,25.6,0.0,0
Agra,2022-05-06,29.7,0.0,0
Agra,2022-05-07,28.1,0.0,0
Agra,2022-05-08,33.2,0.0,0
Agra,2022-05-09,27.0,0.0,0
Agra,2022-05-10,35.1,0.0,0
Agra,2022-05-11,29.2,0.0,0
