State,District,Market,Commodity,Variety,Group,Arrivals (Tonnes),Min_Price,Max_Price,Modal_Price,Reported Date
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,194.7,1590.2,2168.9,1843.4,2022-01-01
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,184.8,1616.7,1907.5,1743.5,2022-01-02
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,221.8,1556.5,1909.5,1699.4,2022-01-03
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,178.6,1685.4,2145.5,1873.5,2022-01-04
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,249.4,1592.3,1987.7,1860.6,2022-01-05
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,184.2,1611.1,1987.4,1802.7,2022-01-06
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,197.8,1443.4,1847.9,1607.9,2022-01-07
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,246.0,1583.1,2078.3,1762.8,2022-01-08
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,182.6,1593.7,1814.6,1719.6,2022-01-09
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,263.9,1672.7,2118.5,1922.0,2022-01-10
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,208.9,1788.4,2187.0,1941.9,2022-01-11
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,178.2,1433.4,1728.3,1579.1,2022-01-12
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,198.2,1679.5,2094.1,1902.2,2022-01-13
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,249.8,1390.6,1735.1,1572.5,2022-01-14
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,234.5,1586.5,2071.6,1857.3,2022-01-15
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,233.3,1660.3,1861.9,1762.5,2022-01-16
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,251.2,1593.5,1788.7,1699.5,2022-01-17
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,218.1,1738.4,2092.5,1842.9,2022-01-18
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,182.7,1555.4,1883.1,1692.5,2022-01-19
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,233.4,1530.0,1858.2,1755.7,2022-01-20
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,238.0,1654.4,2063.2,1775.7,2022-01-21
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,215.8,1782.5,2387.8,2093.9,2022-01-22
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,183.8,1799.3,2377.0,2033.0,2022-01-23
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,272.8,1724.3,1975.2,1880.1,2022-01-24
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,218.6,1395.5,1803.3,1601.4,2022-01-25
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,259.9,1323.3,1692.6,1550.6,2022-01-26
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,180.0,1763.0,2090.0,1916.7,2022-01-27
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,279.1,1659.9,2191.4,1892.2,2022-01-28
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,233.8,1486.7,1878.8,1720.7,2022-01-29
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,209.8,1508.8,2063.3,1759.5,2022-01-30
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,239.3,1635.8,1995.2,1767.4,2022-01-31
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,231.0,1618.2,2004.1,1770.8,2022-02-01
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,223.1,1587.6,1932.5,1821.6,2022-02-02
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,218.7,1627.8,2090.7,1805.8,2022-02-03
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,261.9,1620.6,2144.7,1898.0,2022-02-04
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,235.5,1836.4,2391.2,2121.2,2022-02-05
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,243.9,1529.1,1878.7,1752.1,2022-02-06
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,178.7,1635.7,2035.6,1795.6,2022-02-07
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,212.6,1521.0,1915.8,1725.8,2022-02-08
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,202.9,1761.9,2203.0,1881.6,2022-02-09
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,233.7,1706.7,1958.0,1809.7,2022-02-10
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,169.3,1600.7,2110.8,1824.2,2022-02-11
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,264.5,1315.6,1690.8,1491.2,2022-02-12
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,198.5,1702.0,2169.0,1868.4,2022-02-13
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,243.2,1164.2,1535.2,1367.8,2022-02-14
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,233.0,1740.7,2193.6,1914.6,2022-02-15
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,231.1,1322.4,1704.4,1541.3,2022-02-16
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,241.2,1636.7,2120.1,1853.8,2022-02-17
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,231.0,1761.7,2181.5,1925.6,2022-02-18
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,211.1,1405.5,1883.4,1651.3,2022-02-19
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,222.4,1346.6,1692.9,1547.1,2022-02-20
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,187.4,1614.3,2049.9,1835.3,2022-02-21
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,207.1,1795.3,2274.1,2009.1,2022-02-22
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,224.8,1573.7,2011.9,1788.1,2022-02-23
Delhi,Delhi,Azadpur Mandi,Tomato,Hybrid,Vegetables,174.6,1353.1,1618.9,1526.0,2022-02-24
